ABUNDANCE,BIOMAS,valid_name,SAMPLE_DESC,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
2,0.0000296968,Alona,1997_6_23,46.251200,-89.503400,23,6,1997
2,0.0000907958,Alona,1997_6_9,46.251200,-89.503400,9,6,1997
14.3204,0.000143112,Alona,2009_7_21,46.251200,-89.503400,21,7,2009
11.3,0.0000476961,Alona,1995_6_29,46.251200,-89.503400,29,6,1995
4.21703,0.000202811,Alona,2008_6_24,46.251200,-89.503400,24,6,2008
4.65453,0.000262982,Alona,2007_7_16,46.251200,-89.503400,16,7,2007
2,0.000171443,Alona,1992_7_9,46.251200,-89.503400,9,7,1992
31.7,0.000471377,Alona,1993_8_5,46.251200,-89.503400,5,8,1993
2,0.000130706,Alona,1989_7_3,46.251200,-89.503400,3,7,1989
11.3,0.000506571,Alona,1995_5_25,46.251200,-89.503400,25,5,1995
5.01068,0.000105391,Alona,2009_8_25,46.251200,-89.503400,25,8,2009
1,0.0000705548,Alona,1988_5_23,46.251200,-89.503400,23,5,1988
4,0.000216234,Alona,1990_7_2,46.251200,-89.503400,2,7,1990
31.7,0.000470559,Alona,1993_8_12,46.251200,-89.503400,12,8,1993
1,0.0000272616,Alona,1989_7_31,46.251200,-89.503400,31,7,1989
11.3145,0.000236262,Alona,1996_6_17,46.251200,-89.503400,17,6,1996
25,0.000100841,"Ascomorpha ecaudis",1986_8_18,46.251200,-89.503400,18,8,1986
25,0.0000836243,"Ascomorpha ecaudis",1985_8_26,46.251200,-89.503400,26,8,1985
10,0.0000157411,"Ascomorpha ecaudis",1988_7_4,46.251200,-89.503400,4,7,1988
396,0.001909,"Ascomorpha ecaudis",1991_8_26,46.251200,-89.503400,26,8,1991
25,0.0000836243,"Ascomorpha ecaudis",1985_8_5,46.251200,-89.503400,5,8,1985
25,0.0000836243,"Ascomorpha ecaudis",1985_7_22,46.251200,-89.503400,22,7,1985
99,0.000477249,"Ascomorpha ecaudis",1991_8_19,46.251200,-89.503400,19,8,1991
8,0.0000259727,"Ascomorpha ecaudis",1988_8_15,46.251200,-89.503400,15,8,1988
63.4,0.000305632,"Ascomorpha ecaudis",1994_6_9,46.251200,-89.503400,9,6,1994
20,0.0000806729,"Ascomorpha ecaudis",1984_6_24,46.251200,-89.503400,24,6,1984
376,0.00181258,"Ascomorpha ecaudis",1991_8_12,46.251200,-89.503400,12,8,1991
13,0.000033253,"Ascomorpha ecaudis",1987_6_1,46.251200,-89.503400,1,6,1987
22.6,0.0000755964,"Ascomorpha ecaudis",1995_8_24,46.251200,-89.503400,24,8,1995
